,RESOLUCAO,EMPRESA,AUTORIZACAO,MARCA,PROCESSO,REGISTRO,VENDA E EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE PRODUTO,CATEGORIA,ASSUNTO PETICAO,EXPEDIENTE E PETICAO,VERSAO
10,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.009-7, PRODUTO DE VENDA LIVRE, 09/2030, FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP MIL FLORES
11,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.010-0, PRODUTO DE VENDA LIVRE, 09/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP MIL FLORES
12,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", BENZOQUÍMICA INDÚSTRIA E COM. DE PRODUTOS QUÍMICOS LTDA, 3.02404-4, DETERGENTE REMOVEDOR DE CERA REMOMAX, 25351.748326/2009-93, 3.2404.0009.001-3, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 03/2030, GALAO PLASTICO + CAIXA DE PAPELAO, 2 Ano(s), 3202038 REMOVEDOR, 334 REG. SANEANTES - Revalidação de Registro, 2157126/19-1,
13,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", BENZOQUÍMICA INDÚSTRIA E COM. DE PRODUTOS QUÍMICOS LTDA, 3.02404-4, DETERGENTE REMOVEDOR DE CERA REMOMAX, 25351.748326/2009-93, 3.2404.0009.002-1, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 03/2030, BOMBONA PLASTICA OPACA + ACONDICIONAMENTO NAO PREVISTO NA TABELA, 2 Ano(s), 3202038 REMOVEDOR, 334 REG. SANEANTES - Revalidação de Registro, 2157126/19-1,
14,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", BENZOQUÍMICA INDÚSTRIA E COM. DE PRODUTOS QUÍMICOS LTDA, 3.02404-4, DETERGENTE REMOVEDOR DE CERA REMOMAX, 25351.748326/2009-93, 3.2404.0009.003-1, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 03/2030, BALDE PLASTICO + ACONDICIONAMENTO NAO PREVISTO NA TABELA, 2 Ano(s), 3202038 REMOVEDOR, 334 REG. SANEANTES - Revalidação de Registro, 2157126/19-1,
15,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", COMPANHIA NACIONAL DE ALCOOL, 3.00302-9, ÁLCOOL GEL ZULU BACTERICIDA 70° INPM, 25351.974132/2020-72, 3.0302.0038.001-8, PRODUTO DE VENDA LIVRE, 01/2031, TRADICIONAL + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
16,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", COMPANHIA NACIONAL DE ALCOOL, 3.00302-9, ÁLCOOL GEL ZULU BACTERICIDA 70° INPM, 25351.974132/2020-72, 3.0302.0038.002-6, PRODUTO DE VENDA LIVRE, 01/2031, EUCALIPTO + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
17,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", HOTECHANN INDÚSTRIA E COMÉRCIO DE PRODUTOS DE LIMPEZA LTDA, 3.02126-4, SODA CÁUSTICA 99% FAZ, 25351.801933/2020-10, 3.2126.0014.001-9, PRODUTO DE VENDA LIVRE, 01/2031, POTE DE PLASTICO OPACO, 24 Meses, 3222030 DESINCRUSTANTE ALCALINO, 30020 REG. SANEANTES - Registro de produtos saneantes,,
18,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", INNOVATIVE WATER CARE INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS BRASIL LTDA., 3.00388-7, CLORO HIPOCLORITO AXTON, 25351.617326/2020-73, 3.0388.0075.001-6, PRODUTO DE VENDA LIVRE, 01/2031, SACO PLASTICO + CAIXA DE PAPELAO, 24 Meses, 3205045 DESINFETANTE PARA PISCINAS, 3884 Registro de Produto de Risco 2 - Desinfetante para Piscinas,,
19,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", INNOVATIVE WATER CARE INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS BRASIL LTDA., 3.00388-7, CLORO HIPOCLORITO AXTON, 25351.617326/2020-73, 3.0388.0075.002-4, PRODUTO DE VENDA LIVRE, 01/2031, BALDE PLASTICO, 24 Meses, 3205045 DESINFETANTE PARA PISCINAS, 3884 Registro de Produto de Risco 2 - Desinfetante para Piscinas,,
20,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", INQUIBRA IND QUIM BRASILEIRA LTDA, 3.00887-0, KAYDRAN - AGENTE DE LIMPEZA E DESINCRUSTANTE, 25351.963436/2020-12, 3.0887.0035.001-2, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, DESINCRUSTANTE ALCALINO + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3222030 DESINCRUSTANTE ALCALINO, 30020 REG. SANEANTES - Registro de produtos saneantes,,
21,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", INQUIBRA IND QUIM BRASILEIRA LTDA, 3.00887-0, KAYDRAN - AGENTE DE LIMPEZA E DESINCRUSTANTE, 25351.963436/2020-12, 3.0887.0035.002-0, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, DESINCRUSTANTE ALCALINO + BOMBONA PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3222030 DESINCRUSTANTE ALCALINO, 30020 REG. SANEANTES - Registro de produtos saneantes,,
22,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", JPB INDUSTRIA QUIMICA LTDA ME, 3.05192-1, DEPTAL SMP, 25351.525005/2019-18, 3.5192.0047.001-8,, 01/2031, BOMBONA PLASTICA, 12 Meses, 3205053 DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS, 3883 Registro de Produto de Risco 2 - Desinfetante para Indústria Alimentícia e Afins,, DEPTAL SMP
23,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", JPB INDUSTRIA QUIMICA LTDA ME, 3.05192-1, DEPTAL SMP, 25351.525005/2019-18, 3.5192.0047.002-6,, 01/2031, TAMBOR PLASTICO, 12 Meses, 3205053 DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS, 3883 Registro de Produto de Risco 2 - Desinfetante para Indústria Alimentícia e Afins,, DEPTAL SMP
24,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", JPB INDUSTRIA QUIMICA LTDA ME, 3.05192-1, DEPTAL SMP, 25351.525005/2019-18, 3.5192.0047.003-4,, 01/2031, ACONDICIONAMENTO NAO PREVISTO NA TABELA, 12 Meses, 3205053 DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS, 3883 Registro de Produto de Risco 2 - Desinfetante para Indústria Alimentícia e Afins,, DEPTAL SMP
25,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", LUAR MAGICO INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA - ME, 3.05253-1, ÁLCOOL LÍQUIDO BALCÃO 46 INPM BACTERICIDA, 25351.856907/2018-12, 3.5253.0021.001-2, PRODUTO DE VENDA LIVRE, 09/2024, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1078243/20-5, LAVANDA
26,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", LUAR MAGICO INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA - ME, 3.05253-1, ÁLCOOL LÍQUIDO BALCÃO 46 INPM BACTERICIDA, 25351.856907/2018-12, 3.5253.0021.002-0, PRODUTO DE VENDA LIVRE, 09/2024, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1078243/20-5, EUCALIPTO
27,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", LUAR MAGICO INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA - ME, 3.05253-1, ÁLCOOL LÍQUIDO BALCÃO 46 INPM BACTERICIDA, 25351.856907/2018-12, 3.5253.0021.003-9, PRODUTO DE VENDA LIVRE, 09/2024, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1078243/20-5, TRADICIONAL
28,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", MONTANA QUIMICA LTDA., 3.02414-9, TUDO PLIM LIMPA PEDRAS, 25351.121054/2020-19, 3.2414.0006.001-5, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO, 24 Meses, 3222029 DESINCRUSTANTE ÁCIDO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
29,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", MONTANA QUIMICA LTDA., 3.02414-9, TUDO PLIM LIMPA PEDRAS, 25351.121054/2020-19, 3.2414.0006.002-3, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, FRASCO PLASTICO, 24 Meses, 3222029 DESINCRUSTANTE ÁCIDO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
30,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", MONTANA QUIMICA LTDA., 3.02414-9, TUDO PLIM - REMOVEDOR DE CIMENTO, 25351.121059/2020-33, 3.2414.0007.001-0, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO, 24 Meses, 3222029 DESINCRUSTANTE ÁCIDO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
31,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", MONTANA QUIMICA LTDA., 3.02414-9, TUDO PLIM - REMOVEDOR DE CIMENTO, 25351.121059/2020-33, 3.2414.0007.002-9, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, FRASCO PLÁSTICO, 24 Meses, 3222029 DESINCRUSTANTE ÁCIDO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
32,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", NEW LIMP PRODUTOS PARA LIMPEZA LTDA, 3.05929-8, CLORO LÍQUIDO NEW LIMP, 25351.234296/2015-13, 3.5929.0002.001-6, PRODUTO DE VENDA LIVRE, 12/2030, GALAO + CAIXA DE PAPELAO, 6 Meses, 3222021 LIMPADOR DE USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3845559/20-9,
33,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", NOORDHEN BRASIL INDUSTRIA E COMERCIO LTDA ME, 3.02143-2, NS 600 PW, 25351.051014/2020-94, 3.2143.0023.001-9, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, BOMBONA PLASTICA + CAIXA DE PAPELAO, 24 Meses, 3222030 DESINCRUSTANTE ALCALINO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,, 1
34,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", NOORDHEN BRASIL INDUSTRIA E COMERCIO LTDA ME, 3.02143-2, NS 600 PW, 25351.051014/2020-94, 3.2143.0023.002-7, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, BOMBONA PLASTICA, 24 Meses, 3222030 DESINCRUSTANTE ALCALINO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,, 1
35,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", NOORDHEN BRASIL INDUSTRIA E COMERCIO LTDA ME, 3.02143-2, NS 600 PW, 25351.051014/2020-94, 3.2143.0023.003-5, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, ACONDICIONAMENTO NAO PREVISTO NA TABELA, 24 Meses, 3222030 DESINCRUSTANTE ALCALINO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,, 1
36,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", OLIVEIRA &amp; FERNANDES INDÚSTRIA COMÉRCIO DE PRODUTOS DE LIMPEZA LTDA-ME, 3.02854-9, DESENGRAXANTE PINHEIRO, 25351.177771/2012-75, 3.2854.0004.001-6, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 07/2027, BOMBONA PLASTICA, 24 Meses, 3103084 DESENGRAXANTE, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1667400/20-7,
37,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", ONYX DO BRASIL INDÚSTRIA E COMÉRCIO EIRELI - ME, 3.07868-0, SOLUÇÃO ADF PLUS ALERGOSHOP, 25351.968523/2020-58, 3.7868.0002.001-2, PRODUTO DE VENDA LIVRE, 01/2031, - + FRASCO PLÁSTICO OPACO COM GATILHO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3101010 DETERGENTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
38,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", ONYX DO BRASIL INDÚSTRIA E COMÉRCIO EIRELI - ME, 3.07868-0, SOLUÇÃO ADF PLUS ALERGOSHOP, 25351.968523/2020-58, 3.7868.0002.002-0, PRODUTO DE VENDA LIVRE, 01/2031, - + FRASCO DE PLASTICO TRANSPARENTE + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3101010 DETERGENTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
39,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", ONYX DO BRASIL INDÚSTRIA E COMÉRCIO EIRELI - ME, 3.07868-0, SOLUÇÃO ADF PLUS ALERGOSHOP, 25351.968523/2020-58, 3.7868.0002.003-9, PRODUTO DE VENDA LIVRE, 01/2031, - + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3101010 DETERGENTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
40,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", PORTOMAGGIORE INDÚSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA - EPP, 3.03086-2, MULTIMIX GEL, 25351.700694/2009-23, 3.3086.0005.001-8, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 03/2030, SERINGA PLASTICA + CAIXA DE CARTOLINA, 24 Meses, 3206025 INSETICIDA PARA EMPRESAS ESPECIALIZADAS, 334 REG. SANEANTES - Revalidação de Registro, 2091244/19-7,
41,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", PURE QUIMICA INDUSTRIA E COMERCIO DE PRODUTOS PARA PISCINA E LIMPEZA LTDA, 3.09291-8, ÁGUA SANITÁRIA PURE, 25351.828316/2020-61, 3.9291.0001.001-8, PRODUTO DE VENDA LIVRE, 01/2031, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 6 Meses, 3103033 ÁGUA SANITÁRIA, 3871 Registro de Produto de Risco 2 - Água Sanitária,,
42,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SANDET QUÍMICA LTDA, 3.00970-6, LM SUPRA SANDET, 25351.153423/2010-01, 3.0970.0073.001-6, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 04/2025, BOMBONA PLASTICA, 36 Meses, 3202011 DETERGENTES DESINCRUSTANTES ACIDOS, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1145257/20-9,
43,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SANDET QUÍMICA LTDA, 3.00970-6, LM SUPRA SANDET, 25351.153423/2010-01, 3.0970.0073.002-4, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 04/2025, BOMBONA PLASTICA + CAIXA DE PAPELAO, 36 Meses, 3202011 DETERGENTES DESINCRUSTANTES ACIDOS, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1145257/20-9,
44,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SANDET QUÍMICA LTDA, 3.00970-6, LM SUPRA SANDET, 25351.153423/2010-01, 3.0970.0073.003-2, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 04/2025, BALDE PLASTICO, 36 Meses, 3202011 DETERGENTES DESINCRUSTANTES ACIDOS, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1145257/20-9,
45,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SANDET QUÍMICA LTDA, 3.00970-6, LM SUPRA SANDET, 25351.153423/2010-01, 3.0970.0073.004-0, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 04/2025, TAMBOR METALICO, 36 Meses, 3202011 DETERGENTES DESINCRUSTANTES ACIDOS, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1145257/20-9,
46,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SANDET QUÍMICA LTDA, 3.00970-6, LM SUPRA SANDET, 25351.153423/2010-01, 3.0970.0073.005-9, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 04/2025, ACONDICIONAMENTO NAO PREVISTO NA TABELA, 36 Meses, 3202011 DETERGENTES DESINCRUSTANTES ACIDOS, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 1145257/20-9,
47,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SEVEN GEL INDÚSTRIA E COMÉRCIO LTDA - EPP, 3.02331-1, LIM+ INTENSO, 25351.559491/2020-01, 3.2331.0097.001-5," PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA", 01/2031, FRASCO DE PLASTICO OPACO, 24 Meses, 3222025 LIMPADOR DESENGORDURANTE, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
48,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SEVEN GEL INDÚSTRIA E COMÉRCIO LTDA - EPP, 3.02331-1, LIM+ INTENSO, 25351.559491/2020-01, 3.2331.0097.002-3," PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA", 01/2031, BOMBONA PLASTICA, 24 Meses, 3222025 LIMPADOR DESENGORDURANTE, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
49,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SEVEN GEL INDÚSTRIA E COMÉRCIO LTDA - EPP, 3.02331-1, LIM+ INTENSO, 25351.559491/2020-01, 3.2331.0097.003-1," PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA", 01/2031, GALAO PLÁSTICO, 24 Meses, 3222025 LIMPADOR DESENGORDURANTE, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
50,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SEVEN GEL INDÚSTRIA E COMÉRCIO LTDA - EPP, 3.02331-1, PÓS OBRA PLUS DESINCRUSTANTE CONCENTRADO SEVENGEL, 25351.559546/2020-75, 3.2331.0095.001-4, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, FRASCO DE PLASTICO OPACO, 24 Meses, 3222029 DESINCRUSTANTE ÁCIDO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
51,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", SEVEN GEL INDÚSTRIA E COMÉRCIO LTDA - EPP, 3.02331-1, PÓS OBRA PLUS DESINCRUSTANTE CONCENTRADO SEVENGEL, 25351.559546/2020-75, 3.2331.0095.002-2, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 01/2031, GALAO PLÁSTICO, 24 Meses, 3222029 DESINCRUSTANTE ÁCIDO, 387 Registro de Produto de Risco 2 - Detergentes e Congêneres,,
